Site,Treatment,Location,Block,Year,Date,Days.After.Planting
Mandan,BAU,A1,A,2019,613,27
Mandan,BAU,A1,A,2019,703,47
Mandan,BAU,A1,A,2019,1023,159
Mandan,BAU,A2,A,2019,613,27
Mandan,BAU,A2,A,2019,703,47
Mandan,BAU,A2,A,2019,1023,159
Mandan,BAU,A3,A,2019,613,27
Mandan,BAU,A3,A,2019,703,47
Mandan,BAU,A3,A,2019,1023,159
Mandan,BAU,B1,B,2019,613,27
Mandan,BAU,B1,B,2019,703,47
Mandan,BAU,B1,B,2019,1023,159
Mandan,BAU,B2,B,2019,613,27
Mandan,BAU,B2,B,2019,703,47
Mandan,BAU,B2,B,2019,1023,159
Mandan,BAU,B3,B,2019,613,27
Mandan,BAU,B3,B,2019,703,47
Mandan,BAU,B3,B,2019,1023,159
Mandan,BAU,C1,C,2019,613,27
Mandan,BAU,C1,C,2019,703,47
Mandan,BAU,C1,C,2019,1023,159
Mandan,BAU,C2,C,2019,613,27
Mandan,BAU,C2,C,2019,703,47
Mandan,BAU,C2,C,2019,1023,159
Mandan,BAU,C3,C,2019,613,27
Mandan,BAU,C3,C,2019,703,47
Mandan,BAU,C3,C,2019,1023,159
Mandan,BAU,D1,D,2019,613,27
Mandan,BAU,D1,D,2019,703,47
Mandan,BAU,D1,D,2019,1023,159
Mandan,BAU,D2,D,2019,613,27
Mandan,BAU,D2,D,2019,703,47
Mandan,BAU,D2,D,2019,1023,159
Mandan,BAU,D3,D,2019,613,27
Mandan,BAU,D3,D,2019,703,47
Mandan,BAU,D3,D,2019,1023,159
Mandan,BAU,E1,E,2019,613,27
Mandan,BAU,E1,E,2019,703,47
Mandan,BAU,E1,E,2019,1023,159
Mandan,BAU,E2,E,2019,613,27
Mandan,BAU,E2,E,2019,703,47
Mandan,BAU,E2,E,2019,1023,159
Mandan,BAU,E3,E,2019,613,27
Mandan,BAU,E3,E,2019,703,47
Mandan,BAU,E3,E,2019,1023,159
Mandan,BAU,F1,F,2019,613,27
Mandan,BAU,F1,F,2019,703,47
Mandan,BAU,F1,F,2019,1023,159
Mandan,BAU,F2,F,2019,613,27
Mandan,BAU,F2,F,2019,703,47
Mandan,BAU,F2,F,2019,1023,159
Mandan,BAU,F3,F,2019,613,27
Mandan,BAU,F3,F,2019,703,47
Mandan,BAU,F3,F,2019,1023,159
Mandan,BAU,G1,G,2019,613,27
Mandan,BAU,G1,G,2019,703,47
Mandan,BAU,G1,G,2019,1023,159
Mandan,BAU,G2,G,2019,613,27
Mandan,BAU,G2,G,2019,703,47
Mandan,BAU,G2,G,2019,1023,159
Mandan,BAU,G3,G,2019,613,27
Mandan,BAU,G3,G,2019,703,47
Mandan,BAU,G3,G,2019,1023,159
Mandan,BAU,H1,H,2019,703,47
Mandan,BAU,H2,H,2019,703,47
Mandan,BAU,H2,H,2019,1023,159
Mandan,BAU,H3,H,2019,703,47
Mandan,BAU,H3,H,2019,1023,159
